news,target
«Որևէ մեկի կողմից անհամաչափ ուժի կիրառումը խաղի կամ տոնական միջոցառման ընթացքում հակասում է ՀՖՖ կողմից որդեգրված կանոններին և արժեհամակարգին»,Սպորտ
«ՀՖՖ անվտանգության պետը բռունցքով հարվածել է խաղադաշտում հայտնված անչափահաս երկրպագուի դեմքին»,Սպորտ
Արսեն Հարությունյանը ներկա է եղել Նոայի չեմպիոնական խաղին,Սպորտ
19-ամյա Յուրա Զալյանը՝ կարատեի Եվրոպայի մեծահասակների առաջնության բրոնզե մեդալակիր,Սպորտ
Արսեն Ջուլֆալակյանն արծաթե մեդալ է նվաճել Պան-Ամերիկայի առաջնությունում,Սպորտ
Գոռ Ներսիսյանը՝ կարատեի Եվրոպայի մեծահասակների առաջնության բրոնզե մեդալակիր,Սպորտ
Մայիսի 8-11-ը Կարեն Դեմիրճյանի անվան մարզահամերգային համալիրում անցկացվում է Կարատեի Եվրոպայի առաջնությունը,Սպորտ
Էլինա Ավանեսյանը պարտվել է Հռոմի մրցաշարի առաջին շրջանում,Սպորտ
Կարատեի Եվրոպայի մեծահասակների առաջնության անցկացումը Հայաստանում մեզ համար կարևոր փորձառություն է. Ժաննա Անդրեասյան,Սպորտ
Արցախցի մարզիկները ուշուի Եվրոպայի 8-րդ առաջնությունից վերադարձել են մեդալներով,Սպորտ
"«Հսկայական ֆուտբոլային ինտելեկտ, նրան արժե կլոնավորել». իտալական ԶԼՄ-ները՝ Հենրիխ Մխիթարյանի մասին",Սպորտ
"«Բուհերի քաղաքականացման մասին կասեմ՝ ուղղակի չի կարելի, կրթական համակարգը վերջապես զբաղվում է կրթությամբ, մարդիկ օձիք են թափ տալիս»․ Ժաննա Անդրեասյան",Կրթություն
Դեսպան Բարոլինի հետ հանդիպմանը Ժաննա Անդրեասյանը ողջունել է Ուրուգվայում հայերենը որպես օտար լեզու ուսուցանելու գործընթացը,Կրթություն
ՀՀ բուհերում օտարերկրյա ուսանողների կրթություն ստանալու հնարավորություններն ընդլայնելու աշխատանքներ են տարվում. Արթուր Մարտիրոսյանը՝ Իրաքի դեսպանության գործերի հավատարմատարին,Կրթություն
Հուշարձանների պահպանության ոլորտում հատկացումներն աճել են ավելի քան 8 անգամ՝ 2018 թ.-ի համեմատ,Կրթություն
"«Գյուղը կա, դպրոցի շենքը կա, բայց այնտեղ երեխաները դաս չեն անում․ Ձեր պաշտոնավարման տարիներին ՀՀ-ում քանի՞ դպրոց է փակվել»․ Արթուր Խաչատրյանը՝ Ժաննա Անդրեասյանին",Կրթություն
"90-ամյա պապիկը քննություն է հանձնել մաթեմատիկայից, 54-ամյա տղամարդը՝ քիմիայից",Կրթություն
Ահազանգ իրավապահներին. Մերձավանի միջնակարգ դպրոցի հաշիվներից հաշվապահի հաշիվներին գումար է փոխանցվել,Կրթություն
"Ուսման ամենակարևոր տարրը, կամ գուցե ամենակարևորներից մեկը հաճույքն է. Լևոն Սարգսյան",Կրթություն
"«ԵԽ-ն չունի ռազմական ուժ, բայց ունի այլ ուժ՝ ապահովելու, որ ագրեսիան չհաղթի, օրենքը գերակայի բռնությանը». Ալեն Բերսե",Կրթություն
Հանրակրթության նոր չափորոշչով բնագիտական առարկաների դասավանդումն առավել հետաքրքիր դարձնելու հնարավորություն է ստեղծվել. Ժաննա Անդրեասյան,Կրթություն
Մանկավարժահոգեբանական աջակցություն տրամադրող մասնագետները ևս հնարավորություն կունենան մասնակցելու կամավոր ատեստավորման գործընթացին,Կրթություն
Հուսով ենք` կրթության ոլորտի ղեկավարությունն ի զորու է պաշտպանելու ուսուցիչների հեղինակությունը. բաց նամակ,Կրթություն
"Ժաննա Անդրեասյանը կարեւորել է հայերենի՝ պետական լեզվի կարգավիճակը եւ կարծիք հայտնել, որ դա պետք է ունենա հստակ դրսեւորումներ եւ գործիքակազմ. օրենքում առաջարկվող փոփոխությունները դրա ապահովման ձեւերից են",Կրթություն
Աննա Հակոբյանը սեպտեմբերին կմեկնի Չինաստան` երկամյա մագիստրոսական ծրագրով ուսանելու,Կրթություն
Բրյուսովի անվան պետական համալսարանում աշխատակիցների զանգվածային ազատումներ են ու կրթական միջավայրին ոչ հարիր բարքեր. ահազանգում են աշխատակիցները,Կրթություն
"«Թվերը, որոնք գրված են Կառավարության ծրագրում, դառնալու են իրականություն». Ժաննա Անդրեասյան",Կրթություն
"«Չի կարող նման բան լինել, մեր երկրում կա մեկ պետական լեզու, դա հայերենն է»․ Ժաննա Անդրեասյանը՝ ռուսաց լեզվին կարգավիճակ տալու մասին",Կրթություն
Ժաննա Անդրեասյանն այցելել է քննական կենտրոն՝ հետևելու միասնական քննությունների  ընթացքին,Կրթություն
"«Մտահոգ եք՝ շինջոկատներ ձեւավորեք, գնացեք, օգնեք»․ Ժաննա Անդրեասյանը՝ «300 դպրոց, 500 մանկապարտեզ» ծրագրի նկատմամբ թերահավատներին",Կրթություն
"«Հայաստան» եւ «Քաղաքացիական պայմանագիր» խմբակցության կին պատգամավորները վիճեցին․ կառավարությունը չի կարողանում ապահովել 300 դպրոց, 500 մանկապարտեզ կառուցելու խոստումը",Կրթություն
"Մեկնարկում է առաջին դասարանցիների հայտագրումը, որը կիրականացվի 3 փուլով",Կրթություն
Պատմության աղմկահարույց դասագրքի համահեղինակին չի հաջողվել ամբիոնի վարիչ դարձնել,Կրթություն
"«Ուժեղացնել կրթությունը, կրթության միջոցով՝ տնտեսությունը». ԶՊՄԿ-ն եւ ԵՊՀ-ն հուշագիր ստորագրեցին",Կրթություն
1 արծաթե և 3 բրոնզե մեդալ՝ Ասիայի և Խաղաղօվկիանոսյան երկրների ինֆորմատիկայի միջազգային օլիմպիադայից,Կրթություն
"Ցածր աշխատավարձ են ստանում ոչ մրցունակ կրթություն ստացածները, եւ բարձր աշխատավարձ են ստանում մրցունակ կրթություն ստացածները. Փաշինյան",Կրթություն
"Նորից չեն բացում, բացում են կրկին, կամ Փաշինյանի՝ ԵՊՀ այցելության տեղեկատվական առիթը",Կրթություն
Ֆրանս-հայկական մասնագիտական ուսումնական կենտրոնում բացվել է հրուշակագործության լաբորատորիա,Կրթություն
"Շոտլանդիայի թագավորական կոնսերվատորիան հետաքրքրված է հայաստանյան կրթական ծրագրերով, և ոչ միայն",Կրթություն
"Եթե խոսում ենք կրթության ոլորտի բարեփոխումներից, առաջին հերթին աշակերտներին լսելու կարիք ունենք. Ժաննա Անդրեասյանն",Կրթություն
"«Այն տրամաբանությունը, որ գործում մեր որոշ եկեղեցիներում, թողնում է նման տպավորություն». ԿԳՄՍ նախարարը՝ եկեղեցիների «չուլանացման» մասին",Կրթություն
"ԵՊՀ-ի աստվածաբան ռեկտորը խուսափեց պատասխանել Փաշինյանի կողմից եկեղեցին թիրախավորելու մասին հարցին. «Ես այստեղ եմ որպես ռեկտոր, եւ ոչ թե որպես աստվածաբան»",Կրթություն
Առաջին Թումո կենտրոնն Ասիայում. Ճապոնիայում բացվել է Թումո Գունման,Կրթություն
ԱՄՆ դեսպանատունը դադարեցրել է Հայաստանից ներգրավված ուսանողների կրթության եւ կացության ֆինանսավորումը Վրաստանում՝ միաժամանակ պահպանելով Ադրբեջանից ներգրավված ուսանողներինը,Կրթություն
"Եթե ուզում ենք դպրոցում ունենալ ուսուցիչներ, ապա պետք է անենք ամեն ինչ, որպեսզի ուսուցիչն իրեն լավ զգա դպրոցում․ Ժաննա Անդրեասյան",Կրթություն
Ձևավորվում է «Արդյունավետ հաղորդակցման հմտությունների հանրայնացման և բարեկրթության» հանձնաժողով,Կրթություն
Դեսպան Նիլակշի Սահա Սինհան կարևորել է Հայաստանի և Հնդկաստանի միջև բազմակողմ համագործակցությունը,Կրթություն
«Խաղաղության խաչմերուկ» ծրագրի կյանքի կոչման գործում երկրի տնտեսագիտական համայնքը չի կարող անմասն մնալ. Վահագն Խաչատուրյան,Կրթություն
"Ուրտեխե. կրթարանի Անվանումը վերցված է ուրարտական սեպագիր աղբյուրներից, որտեղ նաև այդ անունով է հիշատակվում Արցախը. «Ապառաժ»",Կրթություն
"Անդրադառանալով՝ բարեփոխված գիտակրթական համակարգում ՀՀ գիտությունների ազգային ակադեմիայի դերին՝ որպես անկախ խորհրդատվական մարմին՝ Հայոցյանը նշեց, որ սա թույլ կտա տարանջատել հետազոտության ֆինանսավորման և վերջնարդյունքի գնահատման գործառույթները, որոնք ներկայումս մեկտեղված են",Կրթություն
"Եթե պետգույքը տրվի վարձակալությամբ, ի՞նչ կլինի 1352 դպրոցների ճակատագիրը․ Ժաննա Անդրեասյան",Կրթություն
"Ահազանգ իրավապահներին. Դպրոցի տնօրենը պահակ է աշխատանքի ընդունել, որը երբեք չի հաճախել աշխատանքի",Կրթություն
Անահիտ Մանասյանը խոսել է կրթական հաստատություններում ատելության խոսքի դեմ պայքարի խնդիրների մասին,Կրթություն
"Երևանի հ. 156 հիմնական դպրոցն ավագանու որոշմամբ կրում է հայ գրող, արձակագիր և դրամատուրգ Զորայր Խալափյանի անունը",Կրթություն
«Հայկական համադպրոցական գիտության փառատոնի հաղթողները հնարավորություն են ստանում մասնակցելու միջազգային գիտական փառատոների»,Կրթություն
Մենք սովորեցինք գնահատել Հայաստանն ու նրա մշակույթը. UWC Դիլիջանում ավարտական արարողություն էր,Կրթություն
Մոնիկա Սանդրին բարձր է գնահատել ՀՀ կառավարության ջանքերը՝ Լեռնային Ղարաբաղից բռնի տեղահանված անձանց ինտեգրումը սահուն կազմակերպելու ուղղությամբ,Կրթություն
"Արցախցիների շնորհիվ դպրոց մտնող ուսուցիչների թիվն ավելացել է, սակայն խնդիրը չի լուծվել. Կրթության փորձագետ",Կրթություն
Քննարկվել են Հայաստանում իրանագիտության զարգացմանը վերաբերող հարցեր,Կրթություն
"Ես գիտեմ, թե ինչ խոսակցություններ են սկսվում իմ՝ ամեն նման արտահայտությունից հետո. Ժաննա Անդրեասյան",Կրթություն
"Ունենք գիտնականներ, որոնք ավելի բարձր աշխատավարձ են ստանում, քան պետական պաշտոնյաները. Ժաննա Անդրեասյան",Կրթություն
Տեղի ունեցավ Հայկ Մարտիրոսյանի «Մարդասիրություն և քրիստոնեական գթասրտություն. Օսմանյան կայսրության հայերի շրջանում գործած գերմանական առաքելությունների պատմությունը (1896–1919 թթ.)» գրքի շնորհանդեսը,Կրթություն
«Արմաթ» տեխնոճամբարը բացում է դռները դպրոցականների համար,Կրթություն
"Լավ սովորեք, որ լավ ապրեք: Համարձակ գնացեք առաջ ձեր երազանքների հետևից. Ժաննա Անդրեասյանի ուղերձը",Կրթություն
Համաշխարհային բանկի ներկայացուցիչների հետ քննարկվել են բարձրագույն կրթության և գիտության ոլորտներում համագործակցության խորացման հեռանկարները,Կրթություն
Մեր առաքելությունն է լավագույն կրթությունը հասանելի դարձնել բոլորին. հենց այդ նպատակով սկսում ենք մարզերում նոր դպրոցներ ստեղծելու ծրագիր. «Այբ»,Կրթություն
Հայտնի է բուհերի ընդունելության միասնական քննությունների երկրորդ փուլի ժամանակացույցն ու քննական կենտրոնների ցանկը,Կրթություն
Էստոնիայի գործընկերների հետ քննարկվել են թվայնացման ոլորտում մի շարք հարցեր,Կրթություն
Արտերկրում գործող մեկ տասնյակից ավելի հայագիտական կենտրոններ ՀՀ պետական բյուջեից ստացել են ֆինանսավորում,Կրթություն
Ցուցադրությանը Տարտուի համալսարանի գրադարանի պահոցներից ներկայացվել է Խաչատուր Աբովյանի նվիրաբերած 13-րդ դարի ձեռագիր շարակնոցը՝ նրա մակագրությամբ,Կրթություն
4 բրոնզե մեդալ՝ կենսաբանության միջազգային բաց օլիմպիադայից,Կրթություն
